DEPTO;TIPOLOGIA;SUPERFICIE UTIL;SUPERFICIE TERRAZA;SUPERFICIE TOTAL;Orientacion;ESTACIONAMIENTO;BODEGA;Valor;Bono Vendedor;PISO;PRORRATEO;ROL DEPTO;ROL BODEGA
101;A;;;;;4;;;;;;;
102;A;;;;;3;;;;;;;
103;A;;;;;2;;;;;;;
104;A;;;;;25;;;;;;;
201;A;;;;;89;;;;;;;
202;A;;;;;88;;;;;;;
203;B;;;;;197;;;;;;;
204;A;;;;;110;;;;;;;
205;A;;;;;111;;;;;;;
206;A;;;;;112;;;;;;;
207;A;;;;;8;;;;;;;
208;A;;;;;7;;;;;;;
209;B;;;;;198;;;;;;;
210;B;;;;;196;;;;;;;
211;A;;;;;6;;;;;;;
212;A;;;;;5;;;;;;;
301;A;;;;;107;;;;;;;
302;A;;;;;108;;;;;;;
303;B;;;;;200;;;;;;;
304;A;;;;;109;;;;;;;
305;A;;;;;95;;;;;;;
306;A;;;;;94;;;;;;;
307;A;;;;;93;;;;;;;
308;A;;;;;92;;;;;;;
309;B;;;;;201;;;;;;;
310;B;;;;;199;;;;;;;
311;A;;;;;91;;;;;;;
312;A;;;;;90;;;;;;;
401;A;;;;;150;;;;;;;
402;A;;;;;151;;;;;;;
403;B;;;;;153;;;;;;;
404;A;;;;;152;;;;;;;
405;A;;;;;177;;;;;;;
406;A;;;;;178;;;;;;;
407;A;;;;;102;;;;;;;
408;A;;;;;101;;;;;;;
409;B;;;;;146;;;;;;;
410;B;;;;;182;;;;;;;
411;A;;;;;103;;;;;;;
412;A;;;;;106;;;;;;;
501;A;;;;;18;;;;;;;
502;A;;;;;19;;;;;;;
503;B;;;;;141;;;;;;;
504;A;;;;;20;;;;;;;
505;A;;;;;21;;;;;;;
506;A;;;;;22;;;;;;;
507;A;;;;;23;;;;;;;
508;A;;;;;24;;;;;;;
509;B;;;;;155;;;;;;;
510;B;;;;;154;;;;;;;
511;A;;;;;179;;;;;;;
512;A;;;;;180;;;;;;;
601;A;;;;;14;;;;;;;
602;A;;;;;15;;;;;;;
603;B;;;;;156;;;;;;;
604;A;;;;;16;;;;;;;
605;A;;;;;17;;;;;;;
606;A;;;;;187;;;;;;;
607;A;;;;;186;;;;;;;
608;A;;;;;185;;;;;;;
609;B;;;;;143;;;;;;;
610;B;;;;;142;;;;;;;
611;A;;;;;184;;;;;;;
612;A;;;;;183;;;;;;;
701;A;;;;;29;;;;;;;
702;A;;;;;190;;;;;;;
703;B;;;;;144;;;;;;;
704;A;;;;;189;;;;;;;
705;A;;;;;188;;;;;;;
706;A;;;;;9;;;;;;;
707;A;;;;;10;;;;;;;
708;A;;;;;11;;;;;;;
709;B;;;;;158;;;;;;;
710;B;;;;;157;;;;;;;
711;A;;;;;12;;;;;;;
712;A;;;;;13;;;;;;;
801;A;;;;;115;;;;;;;
802;A;;;;;105;;;;;;;
803;B;;;;;159;;;;;;;
804;A;;;;;114;;;;;;;
805;A;;;;;104;;;;;;;
806;A;;;;;113;;;;;;;
807;A;;;;;181;;;;;;;
808;A;;;;;125;;;;;;;
809;B;;;;;166;;;;;;;
810;B;;;;;145;;;;;;;
811;A;;;;;27;;;;;;;
812;A;;;;;26;;;;;;;
901;A;;;;;126;;;;;;;
902;A;;;;;119;;;;;;;
903;B;;;;;165;;;;;;;
904;A;;;;;127;;;;;;;
905;A;;;;;118;;;;;;;
906;A;;;;;128;;;;;;;
907;A;;;;;117;;;;;;;
908;A;;;;;140;;;;;;;
909;B;;;;;161;;;;;;;
910;B;;;;;160;;;;;;;
911;A;;;;;116;;;;;;;
912;A;;;;;139;;;;;;;
1001;A;;;;;149;;;;;;;
1002;A;;;;;148;;;;;;;
1003;B;;;;;162;;;;;;;
1004;A;;;;;147;;;;;;;
1005;A;;;;;123;;;;;;;
1006;A;;;;;122;;;;;;;
1007;A;;;;;124;;;;;;;
1008;A;;;;;121;;;;;;;
1009;B;;;;;163;;;;;;;
1010;B;;;;;164;;;;;;;
1011;A;;;;;28;;;;;;;
1012;A;;;;;120;;;;;;;
